adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
SCI Horizon 194 boulevard du Général Leclerc 92100 Marseille France,194,,boulevard,du Général Leclerc,92100,Marseille,France,SCI Horizon,"Parsing: SCI Horizon 194 boulevard du Général Leclerc 92100 Marseille France
Champs: {""Building_Number"": 194, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 92100, ""repetition"": null, ""type_voie"": ""boulevard""}"
boulangerie martin 9 bis rue victor hugo 67000 nice france,9,bis,rue,Victor Hugo,67000,Nice,France,Boulangerie Martin,"Parsing: boulangerie martin 9 bis rue victor hugo 67000 nice france
Champs: {""Building_Number"": 9, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
Mairie de Lyon 95 bis route Victor Hugo 75001 Nice France,95,bis,route,Victor Hugo,75001,Nice,France,Mairie de Lyon,"Parsing: Mairie de Lyon 95 bis route Victor Hugo 75001 Nice France
Champs: {""Building_Number"": 95, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mairie de Lyon"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""route""}"
boulangerie martin 83 a impasse du général leclerc 31000 toulouse france,83,A,impasse,du Général Leclerc,31000,Toulouse,France,Boulangerie Martin,"Parsing: boulangerie martin 83 a impasse du général leclerc 31000 toulouse france
Champs: {""Building_Number"": 83, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
Mme Lefevre 43 B impasse Jean Jaurès 92100 Strasbourg France,43,B,impasse,Jean Jaurès,92100,Strasbourg,France,Mme Lefevre,"Parsing: Mme Lefevre 43 B impasse Jean Jaurès 92100 Strasbourg France
Champs: {""Building_Number"": 43, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Lefevre"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
Crèche Les Poussins 66 route de la République 31000 Strasbourg France,66,,route,de la République,31000,Strasbourg,France,Crèche Les Poussins,"Parsing: Crèche Les Poussins 66 route de la République 31000 Strasbourg France
Champs: {""Building_Number"": 66, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""route""}"
116 bis impasse victor hugo 33000 toulouse france,116,bis,impasse,Victor Hugo,33000,Toulouse,France,,"Parsing: 116 bis impasse victor hugo 33000 toulouse france
Champs: {""Building_Number"": 116, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
M. Durant 73 B boulevard du Général Leclerc 69003 Nantes France,73,B,boulevard,du Général Leclerc,69003,Nantes,France,M. Durant,"Parsing: M. Durant 73 B boulevard du Général Leclerc 69003 Nantes France
Champs: {""Building_Number"": 73, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
Pharmacie Centrale 172 chemin du Général Leclerc 33000 Nice France,172,,chemin,du Général Leclerc,33000,Nice,France,Pharmacie Centrale,"Parsing: Pharmacie Centrale 172 chemin du Général Leclerc 33000 Nice France
Champs: {""Building_Number"": 172, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Pharmacie Centrale"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": null, ""type_voie"": ""chemin""}"
Café de la Gare 79 A rue Victor Hugo 6000 Nantes France,79,A,rue,Victor Hugo,6000,Nantes,France,Café de la Gare,"Parsing: Café de la Gare 79 A rue Victor Hugo 6000 Nantes France
Champs: {""Building_Number"": 79, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Café de la Gare"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
rue 67000 m. durant lyon 189 france victor hugo,189,,rue,Victor Hugo,67000,Lyon,France,M. Durant,"Parsing: rue 67000 m. durant lyon 189 france victor hugo
Champs: {""Building_Number"": 189, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""rue""}"
M. Garnier 164 chemin Victor Hugo 13008 Nice France,164,,chemin,Victor Hugo,13008,Nice,France,M. Garnier,"Parsing: M. Garnier 164 chemin Victor Hugo 13008 Nice France
Champs: {""Building_Number"": 164, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Garnier"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""chemin""}"
69003 188 Marseille France Association Soleil Victor Hugo rue,188,,rue,Victor Hugo,69003,Marseille,France,Association Soleil,"Parsing: 69003 188 Marseille France Association Soleil Victor Hugo rue
Champs: {""Building_Number"": 188, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Association Soleil"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""rue""}"
142 avenue de la République 75001 Bordeaux France,142,,avenue,de la République,75001,Bordeaux,France,,"Parsing: 142 avenue de la République 75001 Bordeaux France
Champs: {""Building_Number"": 142, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""avenue""}"
Dr. Roux 128 avenue de la République 6000 Nice France,128,,avenue,de la République,6000,Nice,France,Dr. Roux,"Parsing: Dr. Roux 128 avenue de la République 6000 Nice France
Champs: {""Building_Number"": 128, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Dr. Roux"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""avenue""}"
France de Verdun 34 rue 75001 SCI Horizon Nantes,34,,rue,de Verdun,75001,Nantes,France,SCI Horizon,"Parsing: France de Verdun 34 rue 75001 SCI Horizon Nantes
Champs: {""Building_Number"": 34, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""rue""}"
Victor Hugo France avenue 105 B Bordeaux 67000,105,B,avenue,Victor Hugo,67000,Bordeaux,France,,"Parsing: Victor Hugo France avenue 105 B Bordeaux 67000
Champs: {""Building_Number"": 105, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
Crèche Les Poussins 191 B boulevard Jean Jaurès 75001 Lyon France,191,B,boulevard,Jean Jaurès,75001,Lyon,France,Crèche Les Poussins,"Parsing: Crèche Les Poussins 191 B boulevard Jean Jaurès 75001 Lyon France
Champs: {""Building_Number"": 191, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
clinique du parc 163 b rue du général leclerc 67000 lyon france,163,B,rue,du Général Leclerc,67000,Lyon,France,Clinique du Parc,"Parsing: clinique du parc 163 b rue du général leclerc 67000 lyon france
Champs: {""Building_Number"": 163, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Clinique du Parc"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""rue""}"
france lyon 48 b dr. roux des lilas chemin 31000,48,B,chemin,des Lilas,31000,Lyon,France,Dr. Roux,"Parsing: france lyon 48 b dr. roux des lilas chemin 31000
Champs: {""Building_Number"": 48, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dr. Roux"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
M. Garnier 20 B France 31000 des Lilas Lyon avenue,20,B,avenue,des Lilas,31000,Lyon,France,M. Garnier,"Parsing: M. Garnier 20 B France 31000 des Lilas Lyon avenue
Champs: {""Building_Number"": 20, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Garnier"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
École Saint-Exupéry 175 boulevard de Verdun 13008 Boulogne-Billancourt France,175,,boulevard,de Verdun,13008,Boulogne-Billancourt,France,École Saint-Exupéry,"Parsing: École Saint-Exupéry 175 boulevard de Verdun 13008 Boulogne-Billancourt France
Champs: {""Building_Number"": 175, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""École Saint-Exupéry"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""boulevard""}"
Mme Faure 44 bis chemin de Verdun 92100 Paris France,44,bis,chemin,de Verdun,92100,Paris,France,Mme Faure,"Parsing: Mme Faure 44 bis chemin de Verdun 92100 Paris France
Champs: {""Building_Number"": 44, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Faure"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
France 150 33000 Strasbourg de la République chemin Boulangerie Martin,150,,chemin,de la République,33000,Strasbourg,France,Boulangerie Martin,"Parsing: France 150 33000 Strasbourg de la République chemin Boulangerie Martin
Champs: {""Building_Number"": 150, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": null, ""type_voie"": ""chemin""}"
France Boulogne-Billancourt SARL Lambert des Lilas avenue 153 bis 33000,153,bis,avenue,des Lilas,33000,Boulogne-Billancourt,France,SARL Lambert,"Parsing: France Boulogne-Billancourt SARL Lambert des Lilas avenue 153 bis 33000
Champs: {""Building_Number"": 153, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""SARL Lambert"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
m. durant 161 a rue de la république 33000 nice france,161,A,rue,de la République,33000,Nice,France,M. Durant,"Parsing: m. durant 161 a rue de la république 33000 nice france
Champs: {""Building_Number"": 161, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
m. durant 48 impasse jean jaurès 31000 nice france,48,,impasse,Jean Jaurès,31000,Nice,France,M. Durant,"Parsing: m. durant 48 impasse jean jaurès 31000 nice france
Champs: {""Building_Number"": 48, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""impasse""}"
boulevard strasbourg jean jaurès m. garnier france 75001 147,147,,boulevard,Jean Jaurès,75001,Strasbourg,France,M. Garnier,"Parsing: boulevard strasbourg jean jaurès m. garnier france 75001 147
Champs: {""Building_Number"": 147, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""M. Garnier"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""boulevard""}"
